entry_idx,entry_date,side,entry_price,units,risk_frac,conf_weight,vol_scale,trend_weight,exit_idx,exit_price,gross_ret,net_ret,pct_ret,pre_equity,post_equity,exit_reason
366,2023-11-21 20:00:00+00:00,long,2002.1005255737302,,0.021785453843356433,0.7687717523353284,1.4,1.0120714251186993,,,,,,,,
366,,short,2002.1005255737302,,,,,,367.0,2001.7003622131347,0.00019991171913114059,-0.0013000882808688594,,,,sl
370,2023-11-21 23:00:00+00:00,long,2002.4007244262693,,0.023946696179742575,0.8444940425680761,1.4,1.0127237211475986,,,,,,,,
370,,short,2002.4007244262693,,,,,,375.0,2002.0004999999999,0.00019991225090576492,-0.0013000877490942351,,,,sl
376,2023-11-22 05:00:00+00:00,long,2001.2000511474607,,0.023288526536955307,0.8228073672228229,1.4,1.0108478894797095,,,,,,,,
376,,short,2001.2000511474607,,,,,,377.0,2003.10102557373,-0.0009490157520761766,-0.0024490157520761766,,,,sl
380,2023-11-22 09:00:00+00:00,long,2004.9019744262694,,0.02386021475866566,0.8444940425680761,1.4,1.0090663570625589,,,,,,,,
380,,short,2004.9019744262694,,,,,,381.0,2004.0014999999999,0.000449338199731697,-0.001050661800268303,,,,sl
384,2023-11-22 13:00:00+00:00,long,2002.0004999999999,,0.02259780366190524,0.8012774994617651,1.4,1.0072221134859494,,,,,,,,
384,,short,2002.0004999999999,,,,,,385.0,2004.801948852539,-0.0013973693781286212,-0.002897369378128621,,,,sl
388,2023-11-22 15:30:00+00:00,long,1995.847461639404,,0.02163926692794705,0.7687717523353284,1.4,1.0052801229555268,,,,,,,,
388,,short,1995.847461639404,,,,,,389.0,1993.796448852539,0.0010286971812218937,-0.00047130281877810635,,,,sl
392,2023-11-22 17:30:00+00:00,long,1992.8459616394039,,0.02219256151885488,0.7903016200963862,1.4,1.0028974541638676,,,,,,,,
392,,short,1992.8459616394039,,,,,,393.0,1991.295198852539,0.0007787709164157608,-0.0007212290835842392,,,,sl
396,2023-11-22 19:30:00+00:00,long,1993.046012786865,,0.022198176513400263,0.7923311593336679,1.4,1.0005816494739945,,,,,,,,
396,,short,1993.046012786865,,,,,,397.0,1992.5957755737302,0.00022595511776857258,-0.0012740448822314275,,,,sl
400,2023-11-23 00:00:00+00:00,long,1993.796448852539,,0.023648916552173035,0.846523581805358,1.4,0.997732586227951,,,,,,,,
400,,short,1993.796448852539,,,,,,401.0,1995.1970511474608,-0.0007019869511717403,-0.0022019869511717403,,,,sl
404,2023-11-23 04:00:00+00:00,long,1997.1980511474608,,0.02204549773735023,0.7903016200963862,1.4,0.996251538506704,,,,,,,,
404,,short,1997.1980511474608,,,,,,405.0,1998.09852557373,-0.00045066567776519406,-0.001950665677765194,,,,sl
408,2023-11-23 09:00:00+00:00,long,1996.09752557373,,0.022028016192245207,0.7903016200963862,1.4,0.9954615351956493,,,,,,,,
408,,short,1996.09752557373,,,,,,409.0,1995.3972244262695,0.00035095826479447645,-0.0011490417352055236,,,,sl
412,2023-11-23 13:00:00+00:00,long,1994.3967244262694,,0.023593225453354936,0.846523581805358,1.4,0.9953830145707856,,,,,,,,
412,,short,1994.3967244262694,,,,,,413.0,1995.59727557373,-0.0006015999130463134,-0.0021015999130463135,,,,sl
416,2023-11-23 17:00:00+00:00,long,1994.796948852539,,0.023620226083086022,0.846523581805358,1.4,0.996522153781326,,,,,,,,
416,,short,1994.796948852539,,,,,,417.0,1993.796448852539,0.0005018064911168629,-0.000998193508883137,,,,sl
420,2023-11-23 21:00:00+00:00,long,1995.047073852539,,0.023644208594054316,0.846523581805358,1.4,0.9975339605015132,,,,,,,,
420,,short,1995.047073852539,,,,,,421.0,1995.422261352539,-0.00018802411262353047,-0.0016880241126235305,,,,sl
424,2023-11-24 01:00:00+00:00,long,1994.5967755737302,,0.023041819443403513,0.8248369064601048,1.4,0.9976785914082998,,,,,,,,
424,,short,1994.5967755737302,,,,,,426.0,1995.49725,-0.0004512531532027131,-0.0019512531532027131,,,,sl
428,2023-11-24 05:00:00+00:00,long,1996.2976322354405,,0.023648871369952248,0.846523581805358,1.4,0.9977306800191023,,,,,,,,
428,,short,1996.2976322354405,,,,,,429.0,1996.99798889715,-0.0003507047406173802,-0.0018507047406173802,,,,sl
432,2023-11-24 09:00:00+00:00,long,1999.09905888228,,0.023668439726530266,0.846523581805358,1.4,0.9985562564032779,,,,,,,,
432,,short,1999.09905888228,,,,,,433.0,1999.7994155439892,-0.0003502134545422253,-0.0018502134545422253,,,,sl
436,2023-11-24 13:00:00+00:00,long,2001.9004855291196,,0.022124916302168215,0.7903016200963862,1.4,0.9998405192740496,,,,,,,,
436,,short,2001.9004855291196,,,,,,437.0,2002.6008421908293,-0.0003497235429820167,-0.0018497235429820167,,,,sl
440,2023-11-24 15:30:00+00:00,long,2000.09952557373,,0.022161439248548458,0.7903016200963862,1.4,1.0014910168929112,,,,,,,,
440,,short,2000.09952557373,,,,,,441.0,2000.9499872131346,-0.00042502893367613037,-0.0019250289336761304,,,,sl
444,2023-11-24 17:30:00+00:00,long,2003.001,,0.022859383482218536,0.8140178346789212,1.4,1.002934479019612,,,,,,,,
444,,short,2003.001,,,,,,445.0,2003.0176754523382,-8.325164846278987e-06,-0.001508325164846279,,,,sl
448,2023-11-24 21:00:00+00:00,long,2003.0677018093536,,0.022889720961780706,0.8140178346789212,1.4,1.004265508103713,,,,,,,,
448,,short,2003.0677018093536,,,,,,449.0,2003.0843772616913,-8.324887621813382e-06,-0.0015083248876218134,,,,sl
452,2023-11-25 01:00:00+00:00,long,2003.1344036187065,,0.022898598741092766,0.8140178346789212,1.4,1.00465501252653,,,,,,,,
452,,short,2003.1344036187065,,,,,,453.0,2003.151079071045,-8.32461041633259e-06,-0.0015083246104163326,,,,sl
456,2023-11-25 05:00:00+00:00,long,2003.2011054280597,,0.022283122972760295,0.7923311593336679,1.4,1.0044106067026266,,,,,,,,
456,,short,2003.2011054280597,,,,,,457.0,2003.2177808803979,-8.324333228948433e-06,-0.0015083243332289485,,,,sl
460,2023-11-25 09:00:00+00:00,long,2003.267807237413,,0.02227357307253957,0.7923311593336679,1.4,1.0039801454478745,,,,,,,,
460,,short,2003.267807237413,,,,,,461.0,2003.284482689751,-8.324056059993978e-06,-0.001508324056059994,,,,sl
464,2023-11-25 13:00:00+00:00,long,2003.3345090467665,,0.022879517292801955,0.8140178346789212,1.4,1.003817831488145,,,,,,,,
464,,short,2003.3345090467665,,,,,,465.0,2003.3511844991046,-8.32377890969127e-06,-0.0015083237789096913,,,,sl
468,2023-11-25 17:00:00+00:00,long,2003.4012108561196,,0.022205421108993144,0.7903016200963862,1.4,1.0034785880812074,,,,,,,,
468,,short,2003.4012108561196,,,,,,469.0,2003.417886308458,-8.323501777818265e-06,-0.0015083235017778183,,,,sl
472,2023-11-25 21:00:00+00:00,long,2003.4679126654732,,0.022194271664109224,0.7903016200963862,1.4,1.0029747368299706,,,,,,,,
472,,short,2003.4679126654732,,,,,,473.0,2003.484588117811,-8.323224663930873e-06,-0.001508323224663931,,,,sl
476,2023-11-26 01:00:00+00:00,long,2003.534614474826,,0.02223910838803226,0.7923311593336679,1.4,1.0024266515898494,,,,,,,,
476,,short,2003.534614474826,,,,,,477.0,2003.5512899271646,-8.32294756936136e-06,-0.0015083229475693614,,,,sl
480,2023-11-26 05:00:00+00:00,long,2003.6013162841793,,0.022227088576090032,0.7923311593336679,1.4,1.0018848591929712,,,,,,,,
480,,short,2003.6013162841793,,,,,,481.0,2003.617991736518,-8.322670492777462e-06,-0.0015083226704927775,,,,sl
484,2023-11-26 09:00:00+00:00,long,2003.6680180935327,,0.022216271269629738,0.7923311593336679,1.4,1.001397269668022,,,,,,,,
484,,short,2003.6680180935327,,,,,,485.0,2003.6846935458711,-8.322393434512243e-06,-0.0015083223934345123,,,,sl
488,2023-11-26 13:00:00+00:00,long,2003.7347199028861,,0.022148547059398938,0.7903016200963862,1.4,1.000908409803339,,,,,,,,
488,,short,2003.7347199028861,,,,,,489.0,2003.7513953552245,-8.322116394787749e-06,-0.0015083221163947878,,,,sl
492,2023-11-26 17:00:00+00:00,long,2003.8014217122395,,0.0221984407958839,0.7923311593336679,1.4,1.0005935619931712,,,,,,,,
492,,short,2003.8014217122395,,,,,,493.0,2003.8180971645781,-8.321839373603979e-06,-0.001508321839373604,,,,sl
496,2023-11-26 21:00:00+00:00,long,2003.868123521593,,0.022195497135947807,0.7923311593336679,1.4,1.0004608766749619,,,,,,,,
496,,short,2003.868123521593,,,,,,497.0,2003.884798973931,-8.321562370627866e-06,-0.001508321562370628,,,,sl
500,2023-11-27 01:00:00+00:00,long,2013.7063011474609,,0.02280883233602896,0.8140178346789212,1.4,1.000716593856308,,,,,,,,
500,,short,2013.7063011474609,,,,,,501.0,2012.9059744262695,0.0003975976679284621,-0.001102402332071538,,,,sl
504,2023-11-27 05:00:00+00:00,long,2012.7058011474608,,0.022169131473721158,0.7903016200963862,1.4,1.001838633955322,,,,,,,,
504,,short,2012.7058011474608,,,,,,505.0,2011.2050511474608,0.0007461944266418108,-0.0007538055733581892,,,,sl
508,2023-11-27 09:00:00+00:00,long,2014.9069744262695,,0.022197039279924176,0.7903016200963862,1.4,1.0030998073340023,,,,,,,,
508,,short,2014.9069744262695,,,,,,509.0,2016.207551147461,-0.0006450609315747924,-0.0021450609315747924,,,,sl
