side,entry_idx,entry_date,entry_price,units,risk_frac,conf_strength,exit_idx,exit_date,exit_price,exit_reason,pct_ret
long,2546,2024-02-07 00:00:00+00:00,2052.0254999999997,0.06573293615003427,0.013508781920652085,0.1754390960326042,2551.0,2024-02-07 05:00:00+00:00,2048.275398803711,sl,-3.816458421329732e-05
long,2552,2024-02-07 06:00:00+00:00,2050.624897705078,0.07198489368095957,0.014784089201006947,0.23920446005034735,2554.0,2024-02-07 08:00:00+00:00,2047.775648803711,sl,-3.531211135863643e-05
long,2555,2024-02-07 09:00:00+00:00,2051.325198852539,0.07195777771406169,0.014784089201006947,0.23920446005034735,2556.0,2024-02-07 10:00:00+00:00,2047.9755,sl,-3.890099473953005e-05
long,2558,2024-02-07 12:00:00+00:00,2050.2245511474607,0.06606566048689587,0.013566768756002996,0.1783384378001498,2560.0,2024-02-07 14:00:00+00:00,2057.770648803711,tp,3.653772665564654e-05
long,2561,2024-02-07 14:30:00+00:00,2057.6282755737298,0.058057599067447785,0.011964907209580811,0.09824536047904053,2562.0,2024-02-07 15:00:00+00:00,2053.372702392578,sl,-3.667137744022302e-05
long,2564,2024-02-07 16:00:00+00:00,2055.6273977050782,0.06589200989674132,0.013566768756002996,0.1783384378001498,2566.0,2024-02-07 17:00:00+00:00,2050.774148803711,sl,-4.553519213717788e-05
long,2567,2024-02-07 17:30:00+00:00,2052.37565057373,0.06119364732907559,0.01258004628846818,0.12900231442340893,2580.0,2024-02-08 03:00:00+00:00,2047.275898803711,sl,-4.3773819572519425e-05
long,2581,2024-02-08 04:00:00+00:00,2048.52375,0.06583201220430832,0.013508781920652085,0.1754390960326042,2585.0,2024-02-08 08:00:00+00:00,2044.5771755981443,sl,-3.949737965084552e-05
long,2675,2024-02-11 14:00:00+00:00,2040.457690177002,0.06940472377038721,0.01418638805158166,0.209319402579083,2686.0,2024-02-12 01:00:00+00:00,2036.48125,sl,-4.179304336196825e-05
long,2687,2024-02-12 02:00:00+00:00,2037.2180511474608,0.06619197093693517,0.013508781920652085,0.1754390960326042,2694.0,2024-02-12 09:00:00+00:00,2033.5826755981443,sl,-3.758538108216088e-05
long,2788,2024-02-15 12:00:00+00:00,2010.6047755737302,0.07042963536564299,0.01418638805158166,0.209319402579083,2792.0,2024-02-15 15:00:00+00:00,2011.293898803711,sl,-9.336612812900207e-06
long,2793,2024-02-15 15:30:00+00:00,2013.0059999999999,0.06266725610826819,0.012638033123819087,0.1319016561909543,2818.0,2024-02-16 13:00:00+00:00,2012.0934255981444,sl,-1.8377389715382212e-05
long,2819,2024-02-16 14:00:00+00:00,2010.5047499999998,0.06957255854626088,0.014013441347657292,0.20067206738286458,2824.0,2024-02-16 16:30:00+00:00,2022.1884122009278,tp,6.788264593893193e-05
long,2825,2024-02-16 17:00:00+00:00,2026.312698852539,0.06531123873687951,0.01325765241939775,0.16288262096988748,2911.0,2024-02-20 03:00:00+00:00,2028.4732784497073,sl,8.802909528862631e-07
long,2912,2024-02-20 04:00:00+00:00,2030.4587454492187,0.06974383206277213,0.01418638805158166,0.209319402579083,2919.0,2024-02-20 11:00:00+00:00,2036.8810744018556,tp,3.0812927332886894e-05
long,2920,2024-02-20 12:00:00+00:00,2039.0189999999998,0.06490630383820833,0.01325765241939775,0.16288262096988748,2926.0,2024-02-20 16:00:00+00:00,2037.4807500000002,sl,-2.3265023271457425e-05
long,2927,2024-02-20 16:30:00+00:00,2040.269625,0.0663774060880391,0.013566768756002996,0.1783384378001498,2931.0,2024-02-20 18:30:00+00:00,2036.5312127990724,sl,-3.8393300027540054e-05
long,2932,2024-02-20 19:00:00+00:00,2037.5182499999999,0.06191455073155247,0.012638033123819087,0.1319016561909543,2938.0,2024-02-20 23:00:00+00:00,2034.3823244018556,sl,-3.207178135795303e-05
long,2939,2024-02-21 00:00:00+00:00,2035.817448852539,0.06651788093253129,0.013566768756002996,0.1783384378001498,2946.0,2024-02-21 08:00:00+00:00,2036.48125,sl,-9.155303369839477e-06
long,2947,2024-02-21 09:00:00+00:00,2040.11952557373,0.06637700446976694,0.013566768756002996,0.1783384378001498,2952.0,2024-02-21 14:00:00+00:00,2037.5806755981444,sl,-3.0442622075644707e-05
long,2953,2024-02-21 14:30:00+00:00,2037.8684005737302,0.06616429256849735,0.013508781920652085,0.1754390960326042,2954.0,2024-02-21 15:00:00+00:00,2034.0824255981445,sl,-3.8572381118606336e-05
long,2956,2024-02-21 16:00:00+00:00,2036.0175,0.06943615839777567,0.014164469905428283,0.20822349527141415,2959.0,2024-02-21 17:30:00+00:00,2032.7830877990723,sl,-3.6644489110353934e-05
long,2960,2024-02-21 18:00:00+00:00,2033.51625,0.06951901814442003,0.014164469905428283,0.20822349527141415,2978.0,2024-02-22 09:00:00+00:00,2039.2798988037111,sl,2.6081972316444952e-05
long,2981,2024-02-22 12:00:00+00:00,2039.2190511474607,0.0661172206394822,0.013508781920652085,0.1754390960326042,2982.0,2024-02-22 13:00:00+00:00,2034.48225,sl,-4.4828202249190375e-05
long,2984,2024-02-22 14:30:00+00:00,2035.1170866394039,0.061977334976635726,0.012638033123819087,0.1319016561909543,2986.0,2024-02-22 15:30:00+00:00,2030.9840000000002,sl,-3.8264865755153384e-05
long,3019,2024-02-23 16:30:00+00:00,2049.1740994262695,0.06126741706349219,0.01258004628846818,0.12900231442340893,3028.0,2024-02-23 21:00:00+00:00,2044.777148803711,sl,-3.9527878406477855e-05
long,3029,2024-02-23 22:00:00+00:00,2046.776924875488,0.06614772828183482,0.013566768756002996,0.1783384378001498,3063.0,2024-02-25 08:00:00+00:00,2043.167919641113,sl,-3.745988393331459e-05
long,3064,2024-02-25 09:00:00+00:00,2045.1660856787107,0.06591440904326648,0.013508781920652085,0.1754390960326042,3072.0,2024-02-25 17:00:00+00:00,2042.7541178564454,sl,-2.943507164094769e-05
long,3119,2024-02-27 10:00:00+00:00,2046.822948852539,0.06161396853043786,0.012638033123819087,0.1319016561909543,3122.0,2024-02-27 13:00:00+00:00,2043.7776488037111,sl,-3.142575780885797e-05
long,3123,2024-02-27 14:00:00+00:00,2045.4222244262694,0.061371337915475055,0.01258004628846818,0.12900231442340893,3124.0,2024-02-27 14:30:00+00:00,2042.728125,sl,-2.914041099289197e-05
long,3126,2024-02-27 15:30:00+00:00,2043.9214133605958,0.06141461197581308,0.01258004628846818,0.12900231442340893,3129.0,2024-02-27 17:00:00+00:00,2040.6791011962891,sl,-3.2516905749974316e-05
long,3130,2024-02-27 17:30:00+00:00,2042.770875,0.06918631716494146,0.014164469905428283,0.20822349527141415,3133.0,2024-02-27 19:00:00+00:00,2038.6801011962891,sl,-4.248698595878234e-05
long,3134,2024-02-27 19:30:00+00:00,2040.61977557373,0.06633388352751797,0.013566768756002996,0.1783384378001498,3143.0,2024-02-28 04:00:00+00:00,2037.9805000000001,sl,-3.1104462488790895e-05
long,3168,2024-02-28 23:00:00+00:00,2044.0214999999998,0.06168813114119924,0.012638033123819087,0.1319016561909543,3169.0,2024-02-29 00:00:00+00:00,2041.3788244018556,sl,-2.896899014133277e-05
long,3171,2024-02-29 02:00:00+00:00,2045.8224488525389,0.06163204126737295,0.012638033123819087,0.1319016561909543,3172.0,2024-02-29 04:00:00+00:00,2042.5781755981445,sl,-3.266029629805319e-05
long,3174,2024-02-29 06:00:00+00:00,2046.2225511474608,0.06463899271816287,0.01325765241939775,0.16288262096988748,3176.0,2024-02-29 09:00:00+00:00,2041.8785744018555,sl,-4.135609317753471e-05
long,3177,2024-02-29 10:00:00+00:00,2039.9194744262695,0.06634775853636651,0.013566768756002996,0.1783384378001498,3178.0,2024-02-29 11:00:00+00:00,2037.3808244018555,sl,-3.0442947176455064e-05
long,3180,2024-02-29 14:30:00+00:00,2057.478176147461,0.06127649100644667,0.012638033123819087,0.1319016561909543,3182.0,2024-02-29 15:30:00+00:00,2054.022401794434,sl,-3.3842027216966005e-05
long,3183,2024-02-29 16:00:00+00:00,2054.426602294922,0.061083870386308144,0.01258004628846818,0.12900231442340893,3204.0,2024-03-01 08:00:00+00:00,2046.976,sl,-5.80498986613224e-05
long,3205,2024-03-01 09:00:00+00:00,2055.827448852539,0.06432646633128401,0.01325765241939775,0.16288262096988748,3209.0,2024-03-01 13:00:00+00:00,2058.9700000000003,sl,7.02581579959645e-06
long,3210,2024-03-01 14:00:00+00:00,2055.727301147461,0.06132347590757957,0.012638033123819087,0.1319016561909543,3212.0,2024-03-01 15:00:00+00:00,2076.8609523925784,tp,0.00011861000135711203
long,3213,2024-03-01 15:30:00+00:00,2084.941852294922,0.060471372847957935,0.012638033123819087,0.1319016561909543,3276.0,2024-03-04 01:00:00+00:00,2087.855452392578,sl,5.035026647393493e-06
long,3289,2024-03-04 14:00:00+00:00,2110.4546022949216,0.059740650565026976,0.012638033123819087,0.1319016561909543,3293.0,2024-03-04 16:00:00+00:00,2126.736148803711,tp,8.560096928871596e-05
long,3294,2024-03-04 16:30:00+00:00,2127.5632499999997,0.058993397230977934,0.01258004628846818,0.12900231442340893,3303.0,2024-03-04 21:00:00+00:00,2122.038547607422,sl,-4.517465870575158e-05
