iter	Passed	Remaining
825	3526	742
826	3531	738
827	3535	734
828	3540	730
829	3545	726
830	3550	722
831	3555	717
832	3558	713
833	3562	709
834	3566	704
835	3570	700
836	3573	695
837	3577	691
838	3582	687
839	3586	683
840	3590	678
841	3594	674
842	3599	670
843	3603	666
844	3607	661
845	3610	657
846	3614	652
847	3618	648
848	3621	644
849	3625	639
850	3629	635
851	3632	631
852	3636	626
853	3640	622
854	3644	618
855	3647	613
856	3651	609
857	3655	604
858	3658	600
859	3662	596
860	3666	591
861	3669	587
862	3674	583
863	3677	578
864	3681	574
865	3684	570
866	3688	565
867	3692	561
868	3696	557
869	3699	552
870	3703	548
871	3707	544
872	3710	539
873	3714	535
874	3718	531
875	3721	526
876	3725	522
877	3728	518
878	3733	513
879	3736	509
880	3740	505
881	3744	500
882	3748	496
883	3751	492
884	3755	488
885	3759	483
886	3763	479
887	3767	475
888	3770	470
889	3774	466
890	3778	462
891	3781	457
892	3785	453
893	3788	449
894	3792	444
895	3796	440
896	3799	436
897	3803	432
898	3807	427
899	3810	423
900	3814	419
901	3817	414
902	3821	410
903	3825	406
904	3828	401
905	3832	397
906	3835	393
907	3839	389
908	3843	384
909	3847	380
910	3850	376
911	3854	371
912	3858	367
913	3861	363
914	3865	359
915	3870	354
916	3873	350
917	3877	346
918	3880	342
919	3884	337
920	3888	333
921	3891	329
922	3895	324
923	3900	320
924	3905	316
925	3909	312
926	3914	308
927	3920	304
928	3924	299
929	3929	295
930	3933	291
931	3937	287
932	3942	283
933	3946	278
934	3950	274
935	3954	270
936	3958	266
937	3962	261
938	3967	257
939	3970	253
940	3974	249
941	3978	244
942	3983	240
943	3987	236
944	3991	232
945	3995	228
946	3999	223
947	4003	219
948	4007	215
949	4011	211
950	4015	206
951	4019	202
952	4023	198
953	4027	194
954	4031	189
955	4036	185
956	4040	181
957	4044	177
958	4048	173
959	4053	168
960	4057	164
961	4061	160
962	4068	156
963	4072	152
964	4076	147
965	4080	143
966	4084	139
967	4089	135
968	4095	131
969	4101	126
970	4107	122
971	4114	118
972	4119	114
973	4127	110
974	4134	106
975	4142	101
976	4151	97
977	4160	93
978	4166	89
979	4173	85
980	4179	80
981	4186	76
982	4194	72
983	4201	68
984	4206	64
985	4212	59
986	4219	55
987	4225	51
988	4232	47
989	4238	42
990	4244	38
991	4250	34
992	4256	30
993	4263	25
994	4270	21
995	4276	17
996	4284	12
997	4291	8
998	4300	4
999	4308	0
